Measurements are in inches. Comma delimited,,,,
,,,,
RefDes,Layer,LocationX,LocationY,Rotation
D1,Bottom,0.533,0.466,270
D1,Bottom,0.926,0.466,270
D1,Bottom,0.533,0.859,270
D1,Bottom,1.32,0.466,270
D1,Bottom,1.32,0.859,270
D1,Bottom,1.714,0.466,270
D1,Bottom,0.926,0.859,270
D1,Bottom,2.107,0.466,270
D1,Bottom,1.714,0.859,270
D1,Bottom,2.107,0.859,270
D1,Bottom,0.533,1.253,270
D1,Bottom,0.926,1.253,270
D1,Bottom,1.32,1.253,270
D1,Bottom,1.714,1.253,270
D1,Bottom,2.107,1.253,270
D1,Bottom,0.533,1.647,270
D1,Bottom,0.926,1.647,270
D1,Bottom,1.32,1.647,270
D1,Bottom,1.714,1.647,270
D1,Bottom,2.107,1.647,270
D1,Bottom,0.533,2.041,270
D1,Bottom,0.926,2.041,270
D1,Bottom,1.32,2.041,270
D1,Bottom,1.714,2.041,270
D1,Bottom,2.107,2.041,270
J1,Top,0.593,0.48,0
J1,Top,0.986,0.48,0
J1,Top,0.593,0.874,0
J1,Top,1.38,0.48,0
J1,Top,1.38,0.874,0
J1,Top,1.774,0.48,0
J1,Top,0.986,0.874,0
J1,Top,2.167,0.48,0
J1,Top,1.774,0.874,0
J1,Top,2.167,0.874,0
J1,Top,0.593,1.268,0
J1,Top,0.986,1.268,0
J1,Top,1.38,1.268,0
J1,Top,1.774,1.268,0
J1,Top,2.167,1.268,0
J1,Top,0.593,1.661,0
J1,Top,0.986,1.661,0
J1,Top,1.38,1.661,0
J1,Top,1.774,1.661,0
J1,Top,2.167,1.661,0
J1,Top,0.593,2.055,0
J1,Top,0.986,2.055,0
J1,Top,1.38,2.055,0
J1,Top,1.774,2.055,0
J1,Top,2.167,2.055,0
L1,Top,0.506,0.472,90
L1,Top,0.9,0.472,90
L1,Top,0.506,0.866,90
L1,Top,1.293,0.472,90
L1,Top,1.293,0.866,90
L1,Top,1.687,0.472,90
L1,Top,0.9,0.866,90
L1,Top,2.081,0.472,90
L1,Top,1.687,0.866,90
L1,Top,2.081,0.866,90
L1,Top,0.506,1.259,90
L1,Top,0.9,1.259,90
L1,Top,1.293,1.259,90
L1,Top,1.687,1.259,90
L1,Top,2.081,1.259,90
L1,Top,0.506,1.653,90
L1,Top,0.9,1.653,90
L1,Top,1.293,1.653,90
L1,Top,1.687,1.653,90
L1,Top,2.081,1.653,90
L1,Top,0.506,2.047,90
L1,Top,0.9,2.047,90
L1,Top,1.293,2.047,90
L1,Top,1.687,2.047,90
L1,Top,2.081,2.047,90
R1,Bottom,0.905,0.433,0
R1,Bottom,0.511,0.433,0
R1,Bottom,0.511,0.826,0
R1,Bottom,1.298,0.433,0
R1,Bottom,1.298,0.826,0
R1,Bottom,1.692,0.433,0
R1,Bottom,0.905,0.826,0
R1,Bottom,2.086,0.433,0
R1,Bottom,1.692,0.826,0
R1,Bottom,2.086,0.826,0
R1,Bottom,0.511,1.22,0
R1,Bottom,0.905,1.22,0
R1,Bottom,1.298,1.22,0
R1,Bottom,1.692,1.22,0
R1,Bottom,2.086,1.22,0
R1,Bottom,0.511,1.614,0
R1,Bottom,0.905,1.614,0
R1,Bottom,1.298,1.614,0
R1,Bottom,1.692,1.614,0
R1,Bottom,2.086,1.614,0
R1,Bottom,0.511,2.007,0
R1,Bottom,0.905,2.007,0
R1,Bottom,1.298,2.007,0
R1,Bottom,1.692,2.007,0
R1,Bottom,2.086,2.007,0
