Measurements are in inches. Comma delimited,,,,
,,,,
RefDes,Layer,LocationX,LocationY,Rotation
D1,Bottom,0.06,0.072,270
D1,Bottom,0.493,0.072,270
D1,Bottom,0.926,0.072,270
D1,Bottom,1.359,0.072,270
D1,Bottom,0.06,0.505,270
D1,Bottom,0.493,0.505,270
D1,Bottom,0.926,0.505,270
D1,Bottom,1.359,0.505,270
D1,Bottom,0.06,0.938,270
D1,Bottom,0.493,0.938,270
D1,Bottom,0.926,0.938,270
D1,Bottom,1.359,0.938,270
D1,Bottom,0.06,1.371,270
D1,Bottom,0.493,1.371,270
D1,Bottom,0.926,1.371,270
D1,Bottom,1.359,1.371,270
J1,Top,0.1,0.102,0
J1,Top,0.533,0.102,0
J1,Top,0.967,0.102,0
J1,Top,1.4,0.102,0
J1,Top,0.1,0.535,0
J1,Top,0.533,0.535,0
J1,Top,0.967,0.535,0
J1,Top,1.4,0.535,0
J1,Top,0.1,0.969,0
J1,Top,0.533,0.969,0
J1,Top,0.967,0.969,0
J1,Top,1.4,0.969,0
J1,Top,0.1,1.402,0
J1,Top,0.533,1.402,0
J1,Top,0.967,1.402,0
J1,Top,1.4,1.402,0
L1,Bottom,0.129,0.095,0
L1,Bottom,0.562,0.095,0
L1,Bottom,0.995,0.095,0
L1,Bottom,1.428,0.095,0
L1,Bottom,0.129,0.528,0
L1,Bottom,0.562,0.528,0
L1,Bottom,0.995,0.528,0
L1,Bottom,1.428,0.528,0
L1,Bottom,0.129,0.961,0
L1,Bottom,0.562,0.961,0
L1,Bottom,0.995,0.961,0
L1,Bottom,1.428,0.961,0
L1,Bottom,0.129,1.394,0
L1,Bottom,0.562,1.394,0
L1,Bottom,0.995,1.394,0
L1,Bottom,1.428,1.394,0
R1,Bottom,0.472,0.039,0
R1,Bottom,0.905,0.039,0
R1,Bottom,0.039,0.039,0
R1,Bottom,1.338,0.039,0
R1,Bottom,0.039,0.472,0
R1,Bottom,0.472,0.472,0
R1,Bottom,0.905,0.472,0
R1,Bottom,1.338,0.472,0
R1,Bottom,0.039,0.905,0
R1,Bottom,0.472,0.905,0
R1,Bottom,0.905,0.905,0
R1,Bottom,1.338,0.905,0
R1,Bottom,0.039,1.338,0
R1,Bottom,0.472,1.338,0
R1,Bottom,0.905,1.338,0
R1,Bottom,1.338,1.338,0
