Ref,Val,Package,PosX,PosY,Rot,Side
"","","OE-LOGO-7X5",72.620000,5.211250,0.000000,top
"","","",84.000000,71.000000,0.000000,top
"","","",6.000000,5.000000,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",33.560000,16.889919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",57.560000,16.889919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",21.546000,49.827919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",21.546000,60.827919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",57.546000,38.827919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",21.546000,27.827919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",33.546000,49.827919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",33.546000,27.827919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",33.546000,60.827919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",57.546000,49.827919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",69.560000,16.851919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",45.546000,27.827919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",33.546000,38.827919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",69.546000,49.789919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",21.546000,38.827919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",45.546000,49.827919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",69.546000,27.789919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",45.560000,16.889919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",57.546000,27.827919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",21.560000,16.889919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",69.546000,60.789919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",69.546000,38.789919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",45.546000,60.827919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",57.546000,60.827919,0.000000,top
"J1","Conn_Coaxial","LINX_CONMHF4-SMD-G",45.546000,38.827919,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",6.000000,69.000000,0.000000,top
"TP1","TestPoint","Castellation",70.746000,36.827919,90.000000,top
"TP1","TestPoint","Castellation",22.746000,25.865919,90.000000,top
"TP1","TestPoint","Castellation",22.746000,58.865919,90.000000,top
"TP1","TestPoint","Castellation",22.760000,14.927919,90.000000,top
"TP1","TestPoint","Castellation",70.746000,25.827919,90.000000,top
"TP1","TestPoint","Castellation",70.760000,14.889919,90.000000,top
"TP1","TestPoint","Castellation",34.746000,36.865919,90.000000,top
"TP1","TestPoint","Castellation",34.746000,58.865919,90.000000,top
"TP1","TestPoint","Castellation",34.760000,14.927919,90.000000,top
"TP1","TestPoint","Castellation",58.746000,58.865919,90.000000,top
"TP1","TestPoint","Castellation",58.746000,25.865919,90.000000,top
"TP1","TestPoint","Castellation",70.746000,58.827919,90.000000,top
"TP1","TestPoint","Castellation",46.746000,58.865919,90.000000,top
"TP1","TestPoint","Castellation",46.760000,14.927919,90.000000,top
"TP1","TestPoint","Castellation",58.760000,14.927919,90.000000,top
"TP1","TestPoint","Castellation",70.746000,47.827919,90.000000,top
"TP1","TestPoint","Castellation",58.746000,47.865919,90.000000,top
"TP1","TestPoint","Castellation",34.746000,47.865919,90.000000,top
"TP1","TestPoint","Castellation",22.746000,36.865919,90.000000,top
"TP1","TestPoint","Castellation",58.746000,36.865919,90.000000,top
"TP1","TestPoint","Castellation",34.746000,25.865919,90.000000,top
"TP1","TestPoint","Castellation",46.746000,25.865919,90.000000,top
"TP1","TestPoint","Castellation",46.746000,47.865919,90.000000,top
"TP1","TestPoint","Castellation",22.746000,47.865919,90.000000,top
"TP1","TestPoint","Castellation",46.746000,36.865919,90.000000,top
"TP2","TestPoint","Castellation",32.346000,58.865919,90.000000,top
"TP2","TestPoint","Castellation",56.346000,47.865919,90.000000,top
"TP2","TestPoint","Castellation",44.346000,47.865919,90.000000,top
"TP2","TestPoint","Castellation",32.360000,14.927919,90.000000,top
"TP2","TestPoint","Castellation",44.346000,58.865919,90.000000,top
"TP2","TestPoint","Castellation",68.346000,58.827919,90.000000,top
"TP2","TestPoint","Castellation",32.346000,25.865919,90.000000,top
"TP2","TestPoint","Castellation",56.360000,14.927919,90.000000,top
"TP2","TestPoint","Castellation",44.346000,36.865919,90.000000,top
"TP2","TestPoint","Castellation",44.360000,14.927919,90.000000,top
"TP2","TestPoint","Castellation",20.360000,14.927919,90.000000,top
"TP2","TestPoint","Castellation",20.346000,47.865919,90.000000,top
"TP2","TestPoint","Castellation",68.346000,47.827919,90.000000,top
"TP2","TestPoint","Castellation",68.346000,36.827919,90.000000,top
"TP2","TestPoint","Castellation",32.346000,36.865919,90.000000,top
"TP2","TestPoint","Castellation",56.346000,25.865919,90.000000,top
"TP2","TestPoint","Castellation",20.346000,25.865919,90.000000,top
"TP2","TestPoint","Castellation",56.346000,58.865919,90.000000,top
"TP2","TestPoint","Castellation",68.346000,25.827919,90.000000,top
"TP2","TestPoint","Castellation",44.346000,25.865919,90.000000,top
"TP2","TestPoint","Castellation",68.360000,14.889919,90.000000,top
"TP2","TestPoint","Castellation",32.346000,47.865919,90.000000,top
"TP2","TestPoint","Castellation",20.346000,58.865919,90.000000,top
"TP2","TestPoint","Castellation",56.346000,36.865919,90.000000,top
"TP2","TestPoint","Castellation",20.346000,36.865919,90.000000,top
